CustomerID,days_since_last_purchase,customer_age_days,active_days,total_orders,purchase_frequency,avg_items_per_order,avg_days_between_orders,avg_order_value,avg_item_value,COUNT(transactions),MAX(transactions.Quantity),MAX(transactions.Revenue),MAX(transactions.UnitPrice),MEAN(transactions.Quantity),MEAN(transactions.Revenue),MEAN(transactions.UnitPrice),MIN(transactions.Quantity),MIN(transactions.Revenue),MIN(transactions.UnitPrice),SUM(transactions.Quantity),SUM(transactions.Revenue),COUNT(transactions) + MAX(transactions.Quantity),COUNT(transactions) + MAX(transactions.Revenue),MAX(transactions.Quantity) + MEAN(transactions.Revenue),MAX(transactions.UnitPrice) + MIN(transactions.Quantity),MEAN(transactions.UnitPrice) + MIN(transactions.UnitPrice),CLV_Target
17850,271,272,1,34,3.75,50.97058823529411,0.0303030303030303,158.56500000000003,3.1109117137911144,297,12.0,107.25,35.75,5.835016835016835,18.15222222222222,3.9603703703703705,2.0,6.36,1.06,1733.0,5391.21,309.0,404.25,30.15222222222222,37.75,5.020370370370371,0.0
13047,26,272,246,8,0.8823529411764706,145.5,35.142857142857146,335.25125,2.3041323024054985,140,32.0,68.0,12.75,8.314285714285715,19.15721428571429,4.047214285714285,2.0,9.9,0.42,1164.0,2682.01,172.0,208.0,51.15721428571429,14.75,4.467214285714285,555.53
12583,5,272,267,9,0.9926470588235294,384.77777777777777,33.375,470.24555555555554,1.2221224371931851,146,360.0,102.0,18.0,23.71917808219178,28.987739726027396,3.0371917808219178,1.0,6.8,0.06,3463.0,4232.21,506.0,248.0,388.98773972602737,19.0,3.097191780821918,2354.4
13748,131,272,141,3,0.3308823529411764,74.33333333333333,70.5,193.61666666666665,2.6047085201793716,13,80.0,204.0,14.95,17.153846153846153,44.68076923076923,5.426923076923076,1.0,10.2,0.85,223.0,580.85,93.0,217.0,124.68076923076924,15.95,6.276923076923076,367.4
15100,232,272,40,3,0.3308823529411764,26.666666666666668,20.0,292.0,10.95,3,32.0,350.4,10.95,26.666666666666668,292.0,10.949999999999998,16.0,175.2,10.95,80.0,876.0,35.0,353.4,324.0,26.95,21.9,0.0
15291,71,272,201,11,1.2132352941176472,106.0,20.1,300.56999999999994,2.8355660377358487,83,144.0,243.36,45.0,14.048192771084338,39.83457831325301,5.658795180722891,1.0,9.95,0.65,1166.0,3306.27,227.0,326.36,183.83457831325305,46.0,6.308795180722892,1362.03
14688,28,272,244,15,1.6544117647058825,183.2,17.428571428571427,255.4246666666667,1.394239446870451,242,120.0,153.0,8.5,11.355371900826446,15.832107438016529,1.9078512396694216,1.0,0.39,0.21,2748.0,3831.37,362.0,395.0,135.83210743801652,9.5,2.1178512396694216,1118.46
17809,28,272,244,8,0.8823529411764706,92.875,34.857142857142854,357.08875000000006,3.8448317631224778,35,100.0,425.0,7.95,21.228571428571428,81.62028571428571,3.318,1.0,0.95,0.21,743.0,2856.71,135.0,460.0,181.62028571428573,8.95,3.528,2555.2
15311,11,272,261,63,6.948529411764706,457.4126984126984,4.209677419354839,714.2307936507935,1.5614581670541692,1689,288.0,408.0,14.95,17.061574896388397,26.640935464772056,2.4752871521610422,1.0,0.24,0.12,28817.0,44996.54,1977.0,2097.0,314.64093546477204,15.95,2.5952871521610423,14460.56
16098,27,272,245,6,0.6617647058823529,83.5,49.0,285.415,3.418143712574851,54,50.0,178.20000000000002,21.95,9.27777777777778,31.712777777777777,4.726111111111111,1.0,3.75,0.29,501.0,1712.49,104.0,232.2,81.71277777777777,22.95,5.016111111111111,293.14
