mean_test_score,std_test_score,rank_test_score,param_model__n_estimators,param_model__max_depth,param_model__learning_rate,param_model__subsample,param_model__colsample_bytree
2159.9203623620842,1563.8305307983287,1,800,3,0.01,0.6,0.6
2163.308929206778,1559.2053457544541,2,300,5,0.01,0.6,0.6
2178.3313550637777,1587.1923288833386,3,800,7,0.01,0.6,0.6
2208.555484380925,1470.6483379190013,4,800,5,0.2,0.6,0.8
2212.466239730598,1536.9587737174438,5,500,3,0.1,1.0,0.8
2240.0717596192544,1665.9055122973755,6,500,5,0.01,0.8,1.0
2303.5653939388485,1694.570761367731,7,500,7,0.2,0.8,1.0
2325.1850553709473,1643.2477223841538,8,800,5,0.2,0.8,1.0
2364.701391578834,1682.4961961745046,9,800,5,0.2,1.0,0.8
2527.9330911569095,1832.2787588402016,10,800,7,0.1,1.0,1.0
