mean_test_score,std_test_score,rank_test_score,param_model__n_estimators,param_model__learning_rate,param_model__num_leaves,param_model__max_depth,param_model__min_child_samples,param_model__subsample,param_model__colsample_bytree
2168.6198866548293,1502.7411369700442,1,500,0.05,63,5,20,0.7,0.8
2186.6753492806893,1486.6325734675524,2,800,0.01,15,10,10,0.7,1.0
2192.085163500481,1473.2944876355514,3,800,0.01,31,-1,10,0.7,0.7
2196.2257017123884,1427.6018814477422,4,300,0.05,63,5,10,0.7,0.7
2201.2022741339765,1576.2668697986087,5,800,0.01,31,5,20,1.0,0.8
2201.9152583641567,1574.9049767609215,6,800,0.01,31,5,20,0.8,0.7
2207.0033527267565,1484.27006143328,7,800,0.01,63,-1,10,0.7,1.0
2225.7738218538284,1584.4015566534308,8,300,0.1,15,10,20,1.0,1.0
2236.3007706847543,1622.2977655714994,9,500,0.01,31,-1,20,0.8,0.8
2268.2791330743635,1583.122824913524,10,800,0.05,31,10,20,1.0,0.8
2277.249776028418,1544.9328010173238,11,300,0.05,15,10,50,0.7,0.7
2280.819021609777,1544.8033118566284,12,300,0.05,63,10,50,0.8,0.7
2301.609568762106,1564.4827184337964,13,300,0.1,15,-1,10,0.7,0.8
2343.037965537281,1690.7937084850666,14,500,0.01,15,10,50,1.0,1.0
2343.3605252166353,1691.159627029562,15,500,0.01,15,10,50,0.8,0.8
2363.853406199746,1495.8717195475513,16,800,0.05,31,5,50,1.0,0.8
2388.1010106290896,1760.6969944248003,17,300,0.01,31,-1,50,0.7,1.0
2416.1590730222742,1721.964896794093,18,800,0.1,31,-1,10,1.0,0.8
2527.1127107318985,1587.275051000168,19,500,0.1,15,10,50,0.7,1.0
2619.6031667299503,1645.7419267522857,20,800,0.1,63,-1,50,0.8,0.8
